#PATH-POINTS-START auton_goal_one
53.323, -59.246, 99.799
51.335, -59.462, 99.668
49.346, -59.676, 97.981
47.357, -59.884, 95.353
45.367, -60.085, 92.651
43.376, -60.273, 89.868
41.384, -60.446, 86.995
39.389, -60.598, 84.025
37.393, -60.719, 80.946
35.395, -60.805, 77.745
33.395, -60.843, 74.406
31.396, -60.819, 70.91
29.398, -60.717, 67.233
27.408, -60.52, 63.343
25.433, -60.21, 59.199
23.482, -59.772, 54.741
21.57, -59.187, 49.887
19.708, -58.459, 44.507
17.906, -57.593, 38.38
16.171, -56.598, 31.067
14.502, -55.498, 21.383
13.05, -54.433, 0
13.05, -54.433, 0
-3.078, -42.605, 0
endData
#PATH-POINTS-START auton_goal_two
13.04, -54.439, 49.306
14.742, -55.489, 43.853
16.445, -56.538, 37.617
18.15, -57.584, 30.118
19.908, -58.53, 20
21.808, -59.148, 22.705
23.681, -59.93, 0
23.681, -59.93, 0
42.136, -67.637, 0
endData
#PATH-POINTS-START auton_goal_three
23.587, -59.93, 58.72
23.587, -57.93, 54.222
23.587, -55.93, 49.315
23.587, -53.93, 43.863
23.587, -51.93, 37.63
23.587, -49.93, 30.133
23.587, -47.93, 20
23.587, -47.306, 0
23.587, -47.306, 0
23.587, -27.306, 0
endData
#PATH-POINTS-START auton_goal_four
23.587, -47.307, 58.72
23.574, -45.307, 54.222
23.561, -43.307, 49.315
23.548, -41.307, 43.863
23.535, -39.307, 37.63
23.522, -37.307, 30.133
23.509, -35.307, 20
23.506, -34.836, 0
23.506, -34.836, 0
23.376, -14.836, 0
endData
#PATH-POINTS-START auton_goal_five
23.506, -34.836, 94.668
25.506, -34.823, 95.64
27.505, -34.753, 97.355
29.501, -34.64, 98.132
31.496, -34.501, 99.602
33.491, -34.35, 99.677
35.485, -34.201, 97.664
37.481, -34.068, 95.027
39.478, -33.97, 92.316
41.478, -33.917, 89.522
43.477, -33.939, 86.639
45.473, -34.055, 83.656
47.459, -34.293, 80.564
49.417, -34.695, 77.348
51.32, -35.308, 73.993
53.123, -36.167, 70.481
54.767, -37.301, 66.786
56.191, -38.7, 62.875
57.356, -40.321, 58.705
58.266, -42.1, 54.211
58.929, -43.985, 49.307
59.401, -45.927, 43.858
59.695, -47.905, 37.626
59.86, -49.897, 30.131
59.914, -51.896, 20
59.906, -53.237, 0
59.906, -53.237, 0
59.784, -73.237, 0
endData
#PATH-POINTS-START auton_goal_six
59.887, -53.197, 100
58.762, -51.544, 100
57.636, -49.89, 100
56.511, -48.237, 100
55.386, -46.584, 100
54.26, -44.93, 100
53.135, -43.277, 100
52.01, -41.623, 100
50.884, -39.97, 100
49.759, -38.317, 98.628
48.634, -36.663, 96.019
47.508, -35.01, 93.336
